CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/01,1,Cheque,24,787.92,,,,,,23197.02
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/19,2,Government remittance /Qc. deductions at source,,250,,,,,,22947.02
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/19,3,Government remittance /Federal source deductions,,200,,,,,,22747.02
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/19,4,GST-QST Government remittance /GST/QST tax payments,,301,,,,,,22446.02
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/19,5,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,22446
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/30,6,Cheque,25,787.92,,,,,,21658.08
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/01/30,7,Fixed service charges,,4.95,,,,,,21653.13
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/02/09,1,Deposit at the counter /CAISSE CENTRALE DESJ.     ,,,3590.03,,,,,25243.16
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/02/27,2,Service charges,,1.25,,,,,,25241.91
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/02/27,3,Fixed service charges,,4.95,,,,,,25236.96
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/03/03,1,Bill payment - AccesD - Internet/MRQ CLICREVENU,,1296.83,,,,,,23940.13
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/03/03,2,Government remittance/Federal source deductions,,396.8,,,,,,23543.33
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/03/03,3,Cheque,26,787.92,,,,,,22755.41
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/03/31,4,Fixed service charges,,4.95,,,,,,22750.46
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/01,1,Cheque,27,787.92,,,,,,21962.54
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/30,2,GST-QST Government remittance /GST/QST tax payments,,467.6,,,,,,21494.94
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/30,3,Government remittance /Federal source deductions,,57.93,,,,,,21437.01
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/30,4,Government remittance /Qc. deductions at source,,174.03,,,,,,21262.98
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/30,5,Government remittance /Federal source deductions,,120,,,,,,21142.98
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/04/30,6,Fixed service charges,,4.95,,,,,,21138.03
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/05/01,1,Cheque,28,787.92,,,,,,20350.11
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/05/01,2,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,20350.09
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/05/07,3,Purchase /REVENU QUEBEC,,206.36,,,,,,20143.73
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/05/20,4,Transfer - AccesD - Internet,,2340.68,,,,,,17803.05
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/05/29,5,Fixed service charges,,4.95,,,,,,17798.1
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/06/01,1,Cheque,29,787.92,,,,,,17 010.18
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/06/26,2,Transfer - AccesD - Internet,,1286.7,,,,,,15 723.48
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/06/30,3,Fixed service charges,,4.95,,,,,,15 718.53
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/02,1,Cheque,30,787.92,,,,,,14 930.61
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/13,2,Deposit at the counter /CAISSE CENTRALE DESJ.     ,,,5296.33,,,,,20 226.94
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/15,3,Cheque,36,420.77,,,,,,19 806.17
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/20,4,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,19 806.15
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/20,5,Government remittance /Qc. deductions at source,,284.14,,,,,,19 522.01
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/20,6,Government remittance /Federal source deductions,,91.71,,,,,,19 430.30
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/30,7,Transfer - AccesD - Internet,,9455.04,,,,,,9 975.26
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/30,8,Cheque,31,787.92,,,,,,9 187.34
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/31,9,Service charges,,1.25,,,,,,9 186.09
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/07/31,10,Fixed service charges,,4.95,,,,,,9 181.14
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/08/17,1,Deposit on ATM /CD QUARTIER LATIN DE MTL,,,1767.17,,,,,10 948.31
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/08/19,2,Inter-FI Funds Transfer /Tangerine,,6000,,,,,,4 948.31
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/08/20,3,Cheque,37,619.58,,,,,,4 328.73
CD ST-HENRI VILLE-EMARD,281211,PCA,2015/08/31,4,Fixed service charges,,4.95,,,,,,4 323.78
